Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237517	DGCR5	22	+	18970514	18994628	0.241720	6.671286	8.691206
ENSG00000283406	DGCR5	22	+	18970525	19031242	0.000000	0.000000	0.000000
ENSG00000283583	AC007326.12	22	-	18980695	18981325	0.000000	0.000000	0.000000
ENSG00000271275	AC007326.9	22	-	18997138	18997595	0.000000	0.000000	0.000000
ENSG00000283366	AC000095.12	22	+	18998274	19014786	0.000000	0.000000	0.000000
ENSG00000273032	DGCR9	22	+	19017834	19020248	0.239495	6.395614	8.332067
ENSG00000270393	AC000095.9	22	-	19018043	19018916	0.116269	3.104915	4.045016
ENSG00000273164	AC000095.11	22	+	19023056	19023550	0.000000	0.000000	0.000000
ENSG00000260924	LINC01311	22	+	19171395	19172839	1.186159	31.675882	41.266651
ENSG00000100056	DGCR14	22	-	19130279	19144684	2.246210	71.950912	93.736076
ENSG00000206203	TSSK2	22	+	19130808	19132623	0.000000	0.000000	0.000000
ENSG00000070413	DGCR2	22	-	19036282	19122454	6.209998	326.398254	425.224518
ENSG00000206739	Y_RNA	22	+	19045256	19045367	0.000000	0.000000	0.000000
ENSG00000273311	DGCR11	22	-	19046162	19048375	1.305781	34.870338	45.428318
ENSG00000237347	AC004461.4	22	+	19055801	19056512	0.000000	0.000000	0.000000
ENSG00000281530	DGCR12	22	-	19061041	19061843	0.438356	11.706115	15.250471
ENSG00000223461	AC004471.9	22	+	19121529	19124503	0.000000	0.000000	0.000000
ENSG00000272682	AC004471.10	22	-	19124309	19128449	0.000000	0.000000	0.000000
ENSG00000231086	TSSK1A	22	+	19124879	19125646	0.000000	0.000000	0.000000
ENSG00000100075	SLC25A1	22	-	19175575	19178830	17.102098	603.688232	786.471924
ENSG00000070371	CLTCL1	22	-	19179473	19291716	1.501045	83.287247	108.504807
ENSG00000230194	AC000081.2	22	-	19238443	19238739	0.000000	0.000000	0.000000
ENSG00000251940	SNORA15	22	+	19249873	19249966	0.000000	0.000000	0.000000
ENSG00000233471	KRT18P62	22	+	19257520	19258806	0.000000	0.000000	0.000000
ENSG00000184702	SEPT5	22	+	19714464	19724772	3.699128	414.086517	539.462891
ENSG00000203618	GP1BB	22	+	19722945	19724771	0.000000	0.000000	0.000000
ENSG00000184058	TBX1	22	+	19756703	19783593	0.216819	17.540344	22.851179
ENSG00000185838	GNB1L	22	-	19783224	19854939	0.947564	26.368401	34.352177
ENSG00000235776	AC000089.3	22	+	19792294	19793094	0.000000	0.000000	0.000000
ENSG00000215012	C22orf29	22	-	19846138	19854896	5.387538	148.015656	192.831573
ENSG00000100084	HIRA	22	-	19330698	19447450	8.188352	257.052826	334.882812
ENSG00000242259	C22orf39	22	-	19351368	19448232	1.646827	197.216431	256.929260
ENSG00000244296	RN7SL168P	22	+	19365766	19366044	0.000000	0.000000	0.000000
ENSG00000185608	MRPL40	22	+	19431902	19436075	9.002545	379.052643	493.821533
ENSG00000185065	AC000068.5	22	+	19447893	19450105	0.000000	0.000000	0.000000
ENSG00000070010	UFD1L	22	-	19449910	19479215	4.528884	352.813995	459.638428
ENSG00000273300	AC000068.9	22	+	19454179	19454605	0.034335	0.916902	1.194520
ENSG00000273212	AC000068.10	22	+	19456503	19456962	0.000000	0.000000	0.000000
ENSG00000093009	CDC45	22	+	19479459	19520612	12.024596	536.591309	699.059509
ENSG00000184113	CLDN5	22	-	19523024	19527545	0.000000	0.000000	0.000000
ENSG00000281548	LINC00895	22	-	19565203	19566839	0.000000	0.000000	0.000000
ENSG00000184470	TXNRD2	22	-	19875517	19941992	0.889516	214.717102	279.728760
ENSG00000232926	AC000078.5	22	+	19887289	19887970	0.576246	15.388411	20.047686
ENSG00000093010	COMT	22	+	19941607	19969975	2.085778	613.941589	799.829712
ENSG00000099889	ARVCF	22	-	19969896	20016808	2.187673	107.018631	139.421539
ENSG00000183597	TANGO2	22	+	20017014	20065926	0.753215	237.496246	309.404907
ENSG00000208023	MIR185	22	+	20033139	20033220	0.000000	0.000000	0.000000
ENSG00000236540	AC006547.13	22	-	20058030	20070569	0.000000	0.000000	0.000000
ENSG00000268292	AC006547.15	22	-	20064552	20065705	0.000000	0.000000	0.000000
ENSG00000128191	DGCR8	22	+	20080232	20111877	3.642827	392.723816	511.632019
ENSG00000243762	AC006547.8	22	-	20110821	20111875	0.187490	5.006843	6.522805
ENSG00000099899	TRMT2A	22	-	20111866	20117392	7.930554	385.606445	502.359680
ENSG00000278278	MIR6816	22	-	20114686	20114751	0.000000	0.000000	0.000000
ENSG00000099901	RANBP1	22	+	20115938	20127357	17.872749	2839.879395	3699.733154
ENSG00000264346	SNORA77	22	+	20126402	20126526	0.239142	6.386188	8.319786
ENSG00000223553	SMPD4P1	22	-	20602595	20656914	0.000000	0.000000	0.000000
ENSG00000276427	IGLL4P	22	+	20632619	20632751	0.000000	0.000000	0.000000
ENSG00000238125	SLC9A3P2	22	+	20652730	20654750	0.000000	0.000000	0.000000
ENSG00000099904	ZDHHC8	22	+	20129456	20148007	1.394118	168.658066	219.724045
ENSG00000234409	CCDC188	22	-	20148427	20151065	0.000000	0.000000	0.000000
ENSG00000249923	XXbac-B444P24.8	22	-	20198729	20204918	0.000000	0.000000	0.000000
ENSG00000236499	LINC00896	22	+	20206397	20208524	0.258459	6.902040	8.991827
ENSG00000040608	RTN4R	22	-	20241415	20283246	0.543771	43.370808	56.502544
ENSG00000221039	MIR1286	22	-	20249134	20249211	0.000000	0.000000	0.000000
ENSG00000161132	XXbac-B444P24.10	22	+	20299760	20313216	0.000000	0.000000	0.000000
ENSG00000128185	DGCR6L	22	-	20314276	20320080	14.662478	391.555389	510.109802
ENSG00000273343	XXbac-B444P24.13	22	-	20318119	20318749	0.500792	13.373443	17.422630
ENSG00000273139	XXbac-B444P24.14	22	+	20320739	20321203	0.582796	15.563324	20.275560
ENSG00000188280	AC007731.1	22	+	20338805	20354372	0.020651	2.964503	3.862089
ENSG00000235578	XXbac-B33L19.4	22	-	20343203	20344365	0.000000	0.000000	0.000000
ENSG00000161133	USP41	22	-	20350578	20390758	0.446608	15.982293	20.821383
ENSG00000185252	ZNF74	22	+	20394115	20408461	2.874420	135.492325	176.516449
ENSG00000207343	RNU6-225P	22	-	20416797	20416899	0.000000	0.000000	0.000000
ENSG00000244486	SCARF2	22	-	20424815	20437826	1.998323	62.472885	81.388321
ENSG00000277971	XXbac-B562F10.12	22	-	20429241	20446620	0.400790	10.702930	13.943544
ENSG00000099910	KLHL22	22	-	20441519	20495883	0.820395	207.260071	270.013916
ENSG00000215493	XXbac-B562F10.11	22	+	20450122	20451824	0.000000	0.000000	0.000000
ENSG00000255156	RNY1P9	22	-	20475203	20475311	0.000000	0.000000	0.000000
ENSG00000201916	Y_RNA	22	+	20481158	20481268	0.000000	0.000000	0.000000
ENSG00000242876	RN7SL812P	22	-	20481935	20482213	0.534050	14.261582	18.579679
ENSG00000236670	KRT18P5	22	-	20482815	20484105	1.263362	33.737556	43.952553
ENSG00000099917	MED15	22	+	20495913	20587632	1.080264	473.372284	616.699097
ENSG00000236003	AC007050.17	22	-	20522070	20523870	0.000000	0.000000	0.000000
ENSG00000250261	CCDC74BP1	22	-	20587496	20592218	0.000000	0.000000	0.000000
ENSG00000211640	IGLV6-57	22	+	22195713	22196460	0.000000	0.000000	0.000000
ENSG00000274422	LL22NC03-2H8.5	22	-	22283928	22287220	0.135135	3.608724	4.701367
ENSG00000211642	IGLV10-54	22	+	22214794	22215270	0.000000	0.000000	0.000000
ENSG00000253935	IGLVIV-53	22	+	22219647	22220133	0.000000	0.000000	0.000000
ENSG00000228050	TOP3BP1	22	-	22223187	22224566	0.985145	26.307886	34.273342
ENSG00000234726	LL22NC03-123E1.5	22	-	22228719	22230469	0.000000	0.000000	0.000000
ENSG00000169575	VPREB1	22	+	22244675	22245515	0.000000	0.000000	0.000000
ENSG00000279278	CH17-264L24.1	22	+	22264601	22273020	0.000000	0.000000	0.000000
ENSG00000272779	LL22NC03-80A10.6	22	+	22303224	22310401	4.747309	126.774918	165.159592
ENSG00000236850	BMS1P20	22	+	22303224	22322847	3.814620	101.867836	132.711197
ENSG00000211643	IGLV5-52	22	+	22318727	22319226	0.000000	0.000000	0.000000
ENSG00000211644	IGLV1-51	22	+	22322472	22322980	0.000000	0.000000	0.000000
ENSG00000211645	IGLV1-50	22	+	22327300	22327814	0.000000	0.000000	0.000000
ENSG00000225724	LL22NC03-80A10.11	22	+	22339573	22341214	0.000000	0.000000	0.000000
ENSG00000223350	IGLV9-49	22	+	22343187	22343732	0.000000	0.000000	0.000000
ENSG00000232515	LL22NC03-75A1.9	22	+	22347807	22348164	0.000000	0.000000	0.000000
ENSG00000211647	IGLV5-48	22	+	22352940	22353433	0.000000	0.000000	0.000000
ENSG00000211648	IGLV1-47	22	+	22357739	22358260	0.000000	0.000000	0.000000
ENSG00000237428	LL22NC03-22A12.9	22	+	22366210	22367770	0.000000	0.000000	0.000000
ENSG00000211649	IGLV7-46	22	+	22369614	22370087	0.000000	0.000000	0.000000
ENSG00000232603	LL22NC03-22A12.12	22	+	22370829	22371120	0.000000	0.000000	0.000000
ENSG00000211650	IGLV5-45	22	+	22375986	22376505	0.000000	0.000000	0.000000
ENSG00000211651	IGLV1-44	22	+	22380766	22381347	0.000000	0.000000	0.000000
ENSG00000211652	IGLV7-43	22	+	22395018	22395489	0.000000	0.000000	0.000000
ENSG00000254175	IGLVI-42	22	+	22397032	22397524	0.000000	0.000000	0.000000
ENSG00000254073	IGLVVII-41-1	22	+	22398849	22398999	0.000000	0.000000	0.000000
ENSG00000229107	ABHD17AP4	22	-	20667836	20670984	0.000000	0.000000	0.000000
ENSG00000217261	POM121L4P	22	+	20689929	20698938	0.000000	0.000000	0.000000
ENSG00000235062	BCRP5	22	-	20697962	20698934	0.000000	0.000000	0.000000
ENSG00000226287	TMEM191A	22	+	20701114	20704606	0.000000	0.000000	0.000000
ENSG00000241973	PI4KA	22	-	20707691	20859417	4.295132	397.219910	517.489441
ENSG00000099937	SERPIND1	22	+	20773879	20787720	9.975715	285.876648	372.433868
ENSG00000099940	SNAP29	22	+	20858983	20891218	1.386159	150.387726	195.921844
ENSG00000272600	AC007308.7	22	-	20889206	20891214	0.000000	0.000000	0.000000
ENSG00000099942	CRKL	22	+	20917426	20953749	23.632771	631.103333	822.187622
ENSG00000237476	XXbac-B135H6.15	22	+	20957092	20964679	0.000000	0.000000	0.000000
ENSG00000183773	AIFM3	22	+	20965108	20981360	0.177930	15.484627	20.173033
ENSG00000099949	LZTR1	22	+	20979462	20999038	4.969470	413.974152	539.316467
ENSG00000272829	XXbac-B135H6.18	22	-	20981361	20981755	0.660760	17.645321	22.987940
ENSG00000184436	THAP7	22	-	20999104	21002196	5.467904	236.993057	308.749359
ENSG00000230513	THAP7-AS1	22	+	21001886	21010342	0.452740	24.052792	31.335453
ENSG00000161149	TUBA3FP	22	-	21002895	21014292	0.779859	31.886339	41.540833
ENSG00000099957	P2RX6	22	+	21009808	21028830	0.702559	45.750027	59.602139
ENSG00000099960	SLC7A4	22	-	21028718	21032840	0.000000	0.000000	0.000000
ENSG00000226872	AC002472.11	22	+	21031357	21043969	0.000000	0.000000	0.000000
ENSG00000207575	MIR649	22	-	21034176	21034272	0.000000	0.000000	0.000000
ENSG00000206145	P2RX6P	22	-	21035243	21045017	0.000000	0.000000	0.000000
ENSG00000187905	LRRC74B	22	+	21045960	21064168	0.000000	0.000000	0.000000
ENSG00000249680	TUBA3GP	22	+	21065462	21070097	0.000000	0.000000	0.000000
ENSG00000169668	BCRP2	22	+	21103016	21122285	0.039725	3.011236	3.922972
ENSG00000197210	KB-1592A4.15	22	-	21114607	21124451	0.036148	0.965317	1.257594
ENSG00000239511	POM121L7	22	-	21125660	21128063	0.000000	0.000000	0.000000
ENSG00000224688	E2F6P2	22	-	21141624	21142371	0.000000	0.000000	0.000000
ENSG00000215498	FAM230B	22	+	21167758	21302681	0.000000	0.000000	0.000000
ENSG00000234503	KB-1592A4.14	22	-	21177892	21179875	0.000000	0.000000	0.000000
ENSG00000133475	GGT2	22	-	21207973	21227637	0.000000	0.000000	0.000000
ENSG00000283145	KB-1592A4.16	22	-	21228760	21229138	0.000000	0.000000	0.000000
ENSG00000226885	E2F6P3	22	+	21268161	21268903	0.000000	0.000000	0.000000
ENSG00000229266	POM121L8P	22	+	21282881	21284161	0.000000	0.000000	0.000000
ENSG00000169662	BCRP6	22	-	21290760	21294586	0.000000	0.000000	0.000000
ENSG00000206142	KB-1183D5.13	22	-	21300990	21325042	0.000000	0.000000	0.000000
ENSG00000237407	KB-1183D5.14	22	+	21312920	21314904	0.000000	0.000000	0.000000
ENSG00000232771	PPP1R26P5	22	+	21341595	21345258	0.000000	0.000000	0.000000
ENSG00000279920	KB-1183D5.18	22	+	21354563	21355763	0.000000	0.000000	0.000000
ENSG00000226534	KB-1183D5.16	22	+	21370064	21371945	0.000000	0.000000	0.000000
ENSG00000273846	Metazoa_SRP	22	-	21379382	21379701	0.000000	0.000000	0.000000
ENSG00000274600	RIMBP3B	22	+	21383374	21389478	0.185750	4.960376	6.462270
ENSG00000200057	RN7SKP63	22	+	21389191	21389491	0.000000	0.000000	0.000000
ENSG00000252020	SCARNA17	22	-	21389796	21389938	0.000000	0.000000	0.000000
ENSG00000275840	Metazoa_SRP	22	-	21396273	21396590	0.000000	0.000000	0.000000
ENSG00000169635	HIC2	22	+	21417404	21451463	1.213755	135.073624	175.970978
ENSG00000276800	Metazoa_SRP	22	+	21463963	21464279	0.000000	0.000000	0.000000
ENSG00000206140	TMEM191C	22	+	21466423	21471269	0.034731	2.975104	3.875901
ENSG00000183506	PI4KAP2	22	-	21473000	21517533	3.803867	260.049927	338.787384
ENSG00000252143	SCARNA17	22	+	21544897	21545039	0.000000	0.000000	0.000000
ENSG00000222352	RN7SKP221	22	-	21545344	21545644	0.000000	0.000000	0.000000
ENSG00000183246	RIMBP3C	22	-	21545357	21551461	0.170014	4.919866	6.409494
ENSG00000185651	UBE2L3	22	+	21549447	21624034	2.749181	686.394836	894.220215
ENSG00000275293	Metazoa_SRP	22	+	21555138	21555457	0.000000	0.000000	0.000000
ENSG00000161179	YDJC	22	-	21628089	21630064	14.283921	470.468506	612.916138
ENSG00000161180	CCDC116	22	+	21632716	21637327	0.225500	7.857770	10.236932
ENSG00000273342	KB-1440D3.14	22	+	21640844	21641284	0.401361	10.718179	13.963409
ENSG00000128228	SDF2L1	22	+	21642261	21644298	7.505004	255.151154	332.405365
ENSG00000207751	MIR130B	22	+	21652270	21670237	1.244646	34.789688	45.323250
ENSG00000212102	MIR301B	22	+	21652981	21653058	0.000000	0.000000	0.000000
ENSG00000272954	KB-1440D3.13	22	+	21661934	21662363	0.837209	22.357317	29.126627
ENSG00000100023	PPIL2	22	+	21666009	21700015	4.700322	438.171539	570.840332
ENSG00000100027	YPEL1	22	-	21697544	21735834	1.002918	29.158230	37.986702
ENSG00000244671	RN7SL280P	22	-	21722895	21723182	0.628472	16.783083	21.864635
ENSG00000100030	MAPK1	22	-	21754500	21867680	12.179827	360.526733	469.686371
ENSG00000200985	RNA5SP493	22	+	21792434	21792524	0.000000	0.000000	0.000000
ENSG00000225544	KB-1027C11.4	22	-	21885282	21885673	0.395408	10.559206	13.756304
ENSG00000100034	PPM1F	22	-	21919420	21952837	3.394365	231.713104	301.870789
ENSG00000224086	LL22NC03-86G7.1	22	+	21938293	21977632	0.124754	3.331504	4.340210
ENSG00000100038	TOP3B	22	-	21957025	21982816	2.374692	319.215118	415.866455
ENSG00000197549	PRAMENP	22	-	21991099	22043934	0.000000	0.000000	0.000000
ENSG00000253239	IGLVI-70	22	+	22026076	22026593	0.000000	0.000000	0.000000
ENSG00000211637	IGLV4-69	22	+	22030934	22031472	0.000000	0.000000	0.000000
ENSG00000254355	IGLVI-68	22	+	22032745	22033194	0.000000	0.000000	0.000000
ENSG00000278657	LL22NC03-23C6.13	22	+	22036344	22040065	0.000000	0.000000	0.000000
ENSG00000249333	LL22NC03-23C6.12	22	+	22038643	22039126	0.000000	0.000000	0.000000
ENSG00000253794	IGLV10-67	22	+	22043618	22043942	0.000000	0.000000	0.000000
ENSG00000228161	LL22NC03-23C6.15	22	+	22046430	22046591	0.000000	0.000000	0.000000
ENSG00000253874	IGLVIV-66-1	22	+	22058433	22058892	0.000000	0.000000	0.000000
ENSG00000254075	IGLVV-66	22	+	22061077	22061538	0.000000	0.000000	0.000000
ENSG00000254161	IGLVIV-65	22	+	22070225	22070707	0.000000	0.000000	0.000000
ENSG00000253242	IGLVIV-64	22	+	22075366	22075666	0.000000	0.000000	0.000000
ENSG00000253752	IGLVI-63	22	+	22079770	22080263	0.000000	0.000000	0.000000
ENSG00000253823	IGLV1-62	22	+	22086561	22087110	0.000000	0.000000	0.000000
ENSG00000275361	LL22NC03-88E1.18	22	+	22087924	22088085	0.000000	0.000000	0.000000
ENSG00000211638	IGLV8-61	22	+	22098700	22099212	0.000000	0.000000	0.000000
ENSG00000225741	LL22NC03-88E1.17	22	+	22103219	22104857	0.000000	0.000000	0.000000
ENSG00000133519	ZDHHC8P1	22	-	23390606	23402726	0.000000	0.000000	0.000000
ENSG00000248409	KB-1269D1.8	22	+	23392771	23393839	0.000000	0.000000	0.000000
ENSG00000224277	AP000345.2	22	+	23567064	23573507	0.000000	0.000000	0.000000
ENSG00000128322	IGLL1	22	-	23573125	23580308	0.000000	0.000000	0.000000
ENSG00000186716	BCR	22	+	23179704	23318037	0.701604	270.548492	352.464691
ENSG00000236794	BCRP8	22	-	23179918	23180172	0.000000	0.000000	0.000000
ENSG00000240160	RN7SL263P	22	-	23261782	23262071	0.000000	0.000000	0.000000
ENSG00000230701	FBXW4P1	22	+	23262767	23265005	0.569004	15.195014	19.795734
ENSG00000227755	AP000344.4	22	+	23446598	23460833	0.003759	1.638326	2.134376
ENSG00000178248	AP000345.1	22	-	23462086	23486980	0.000000	0.000000	0.000000
ENSG00000225413	AP000345.4	22	-	23512494	23513602	0.000000	0.000000	0.000000
ENSG00000280623	PCAT14	22	+	23536881	23547797	6.325494	366.288422	477.192596
ENSG00000187792	ZNF70	22	-	23738678	23751092	1.889154	50.449070	65.723953
ENSG00000169314	C22orf15	22	+	23763021	23765861	0.000000	0.000000	0.000000
ENSG00000250479	CHCHD10	22	-	23765834	23768443	5.916597	313.936035	408.989014
ENSG00000099953	MMP11	22	+	23768226	23784316	0.539624	60.682667	79.056061
ENSG00000280178	AP000349.2	22	-	23782283	23783958	0.000000	0.000000	0.000000
ENSG00000189269	DRICH1	22	-	23608452	23632321	0.000000	0.000000	0.000000
ENSG00000275609	KB-1572G7.4	22	+	23610329	23610538	0.000000	0.000000	0.000000
ENSG00000211683	KB-1572G7.3	22	-	23630618	23638941	0.111160	2.968482	3.867273
ENSG00000228315	GUSBP11	22	-	23638487	23717356	0.275982	40.273266	52.467129
ENSG00000234353	AP000347.4	22	-	23638492	23640762	0.505253	13.492572	17.577829
ENSG00000244723	ASLP1	22	-	23649213	23653334	0.000000	0.000000	0.000000
ENSG00000273000	KB-1572G7.2	22	-	23652860	23717347	1.158729	100.109291	130.420197
ENSG00000272578	AP000347.2	22	-	23658094	23717356	0.341412	57.435040	74.825127
ENSG00000159496	RGL4	22	+	23688136	23699176	0.000000	0.000000	0.000000
ENSG00000099956	SMARCB1	22	+	23786963	23834516	10.991987	440.204041	573.488220
ENSG00000099958	DERL3	22	-	23834503	23839128	3.283951	218.856201	285.121094
ENSG00000273295	AP000350.5	22	-	23901432	23907068	0.810538	21.645081	28.198738
ENSG00000133433	GSTT2B	22	-	23957414	23961186	1.256142	33.544750	43.701370
ENSG00000272973	KB-1125A3.11	22	-	23856427	23857039	0.560073	14.956517	19.485023
ENSG00000133460	SLC2A11	22	+	23856703	23886309	0.421759	92.585106	120.617867
ENSG00000251357	AP000350.10	22	+	23862188	23895223	1.582815	42.268417	55.066372
